timestamp [ns],gaze x [px],gaze y [px]
1754818088173512448,,
1754818088190179072,,
1754818088206845696,,
1754818088223512320,,
1754818088240179200,,
1754818088256845824,,
1754818088273512448,,
1754818088290179072,,
1754818088306845696,,
1754818088323512320,992.0,200.0
1754818088340178944,991.0,197.0
1754818088356845824,990.0,196.0
1754818088373512448,987.0,196.0
1754818088390179072,990.0,200.0
1754818088406845696,989.0,197.0
1754818088423512320,987.0,200.0
1754818088440179200,991.0,197.0
1754818088456845824,991.0,196.0
1754818088473512448,991.0,196.0
1754818088490179072,988.0,200.0
1754818088506845696,990.0,195.0
1754818088523512320,990.0,200.0
1754818088540178944,992.0,199.0
1754818088556845824,988.0,196.0
1754818088573512448,987.0,199.0
1754818088590179072,987.0,197.0
1754818088606845696,992.0,199.0
1754818088623512320,992.0,196.0
1754818088640179200,989.0,196.0
1754818088656845824,992.0,195.0
1754818088673512448,992.0,195.0
1754818088690179072,990.0,199.0
1754818088706845696,987.0,196.0
1754818088723512320,991.0,195.0
1754818088740178944,991.0,197.0
1754818088756845824,988.0,197.0
1754818088773512448,991.0,197.0
1754818088790179072,991.0,195.0
1754818088806845696,992.0,197.0
1754818088823512320,992.0,197.0
1754818088840179200,989.0,199.0
1754818088856845824,989.0,198.0
1754818088873512448,990.0,199.0
1754818088890179072,989.0,197.0
1754818088906845696,991.0,195.0
1754818088923512320,989.0,200.0
1754818088940178944,988.0,199.0
1754818088956845824,988.0,196.0
1754818088973512448,988.0,197.0
1754818088990179072,992.0,195.0
1754818089006845696,992.0,197.0
1754818089023512320,992.0,195.0
1754818089040179200,990.0,198.0
1754818089056845824,990.0,200.0
1754818089073512448,988.0,197.0
1754818089090179072,989.0,197.0
1754818089106845696,988.0,197.0
1754818089123512320,992.0,198.0
1754818089140178944,989.0,195.0
1754818089156845824,990.0,198.0
1754818089173512448,988.0,196.0
1754818089190179072,992.0,198.0
1754818089206845696,987.0,200.0
1754818089223512320,990.0,199.0
1754818089240179200,988.0,200.0
1754818089256845824,988.0,199.0
1754818089273512448,992.0,198.0
1754818089290179072,1114.0,128.0
1754818089306845696,892.0,252.0
1754818089323512320,933.0,229.0
1754818089340178944,795.0,307.0
1754818089356845824,866.0,267.0
1754818089373512448,990.0,198.0
1754818089390179072,742.0,337.0
1754818089406845696,600.0,416.0
1754818089423512320,876.0,261.0
1754818089440179200,611.0,410.0
1754818089456845824,444.0,504.0
1754818089473512448,535.0,453.0
1754818089490179072,421.0,517.0
1754818089506845696,310.0,582.0
1754818089523512320,309.0,578.0
1754818089540178944,309.0,581.0
1754818089556845824,305.0,581.0
1754818089573512448,308.0,582.0
1754818089590179072,309.0,581.0
1754818089606845696,306.0,581.0
1754818089623512320,306.0,579.0
1754818089640179200,305.0,582.0
1754818089656845824,308.0,578.0
1754818089673512448,309.0,583.0
1754818089690179072,306.0,580.0
1754818089706845696,310.0,583.0
1754818089723512320,308.0,578.0
1754818089740178944,307.0,578.0
1754818089756845824,306.0,578.0
1754818089773512448,308.0,579.0
1754818089790179072,306.0,581.0
1754818089806845696,305.0,578.0
1754818089823512320,310.0,583.0
1754818089840179200,309.0,578.0
1754818089856845824,308.0,581.0
1754818089873512448,309.0,581.0
1754818089890179072,309.0,579.0
1754818089906845696,308.0,581.0
1754818089923512320,308.0,578.0
1754818089940178944,305.0,583.0
1754818089956845824,309.0,581.0
1754818089973512448,306.0,578.0
1754818089990179072,308.0,578.0
1754818090006845696,305.0,580.0
1754818090023512320,307.0,578.0
1754818090040179200,305.0,579.0
1754818090056845824,308.0,581.0
1754818090073512448,307.0,578.0
1754818090090179072,309.0,581.0
1754818090106845696,305.0,581.0
1754818090123512320,308.0,582.0
1754818090140178944,306.0,583.0
1754818090156845824,310.0,582.0
1754818090173512448,305.0,578.0
1754818090190179072,305.0,583.0
1754818090206845696,309.0,579.0
1754818090223512320,309.0,579.0
1754818090240179200,307.0,583.0
1754818090256845824,308.0,578.0
1754818090273512448,306.0,582.0
1754818090290179072,310.0,583.0
1754818090306845696,310.0,583.0
1754818090323512320,308.0,583.0
1754818090340178944,309.0,581.0
1754818090356845824,308.0,578.0
1754818090373512448,306.0,582.0
1754818090390179072,306.0,578.0
1754818090406845696,309.0,578.0
1754818090423512320,305.0,582.0
1754818090440179200,308.0,583.0
1754818090456845824,305.0,581.0
1754818090473512448,310.0,579.0
1754818090490179072,305.0,582.0
1754818090506845696,306.0,582.0
1754818090523512320,306.0,582.0
1754818090540178944,305.0,582.0
1754818090556845824,310.0,582.0
1754818090573512448,307.0,578.0
1754818090590179072,305.0,582.0
1754818090606845696,308.0,582.0
1754818090623512320,310.0,579.0
1754818090640179200,309.0,578.0
1754818090656845824,310.0,582.0
1754818090673512448,310.0,581.0
1754818090690179072,306.0,582.0
1754818090706845696,305.0,583.0
1754818090723512320,308.0,579.0
1754818090740178944,309.0,579.0
1754818090756845824,307.0,582.0
1754818090773512448,310.0,578.0
1754818090790179072,307.0,580.0
1754818090806845696,309.0,580.0
1754818090823512320,305.0,581.0
1754818090840179200,310.0,579.0
1754818090856845824,310.0,578.0
1754818090873512448,309.0,580.0
1754818090890179072,305.0,579.0
1754818090906845696,305.0,580.0
1754818090923512320,308.0,578.0
1754818090940178944,308.0,582.0
1754818090956845824,308.0,582.0
1754818090973512448,310.0,581.0
1754818090990179072,309.0,583.0
1754818091006845696,308.0,582.0
1754818091023512320,310.0,579.0
1754818091040179200,307.0,582.0
1754818091056845824,308.0,578.0
1754818091073512448,310.0,578.0
1754818091090179072,308.0,579.0
1754818091106845696,310.0,583.0
1754818091123512320,305.0,578.0
1754818091140178944,308.0,578.0
1754818091156845824,307.0,582.0
1754818091173512448,309.0,580.0
1754818091190179072,306.0,582.0
1754818091206845696,309.0,581.0
1754818091223512320,308.0,580.0
1754818091240179200,308.0,581.0
1754818091256845824,380.0,877.0
1754818091273512448,295.0,528.0
1754818091290179072,327.0,660.0
1754818091306845696,317.0,620.0
1754818091323512320,292.0,515.0
1754818091340178944,298.0,541.0
1754818091356845824,263.0,396.0
1754818091373512448,273.0,437.0
1754818091390179072,248.0,334.0
1754818091406845696,265.0,405.0
1754818091423512320,239.0,298.0
1754818091440179200,236.0,284.0
1754818091456845824,233.0,273.0
1754818091473512448,218.0,210.0
1754818091490179072,213.0,183.0
1754818091506845696,212.0,183.0
1754818091523512320,213.0,186.0
1754818091540178944,210.0,187.0
1754818091556845824,212.0,184.0
1754818091573512448,213.0,187.0
1754818091590179072,211.0,183.0
1754818091606845696,212.0,188.0
1754818091623512320,211.0,186.0
1754818091640179200,214.0,188.0
1754818091656845824,212.0,183.0
1754818091673512448,213.0,187.0
1754818091690179072,210.0,185.0
1754818091706845696,211.0,183.0
1754818091723512320,214.0,183.0
1754818091740178944,213.0,188.0
1754818091756845824,214.0,186.0
1754818091773512448,214.0,184.0
1754818091790179072,213.0,185.0
1754818091806845696,214.0,187.0
1754818091823512320,212.0,187.0
1754818091840179200,211.0,185.0
1754818091856845824,210.0,188.0
1754818091873512448,212.0,184.0
1754818091890179072,209.0,183.0
1754818091906845696,209.0,184.0
1754818091923512320,211.0,188.0
1754818091940178944,214.0,188.0
1754818091956845824,209.0,186.0
1754818091973512448,210.0,186.0
1754818091990179072,210.0,183.0
1754818092006845696,213.0,184.0
1754818092023512320,211.0,187.0
1754818092040179200,212.0,184.0
1754818092056845824,211.0,185.0
1754818092073512448,214.0,187.0
1754818092090179072,213.0,188.0
1754818092106845696,214.0,188.0
1754818092123512320,210.0,183.0
1754818092140178944,211.0,187.0
1754818092156845824,213.0,188.0
1754818092173512448,210.0,184.0
1754818092190179072,209.0,186.0
1754818092206845696,214.0,184.0
1754818092223512320,213.0,183.0
1754818092240179200,214.0,184.0
1754818092256845824,209.0,187.0
1754818092273512448,211.0,186.0
1754818092290179072,214.0,183.0
1754818092306845696,214.0,186.0
1754818092323512320,210.0,184.0
1754818092340178944,213.0,185.0
1754818092356845824,212.0,183.0
1754818092373512448,211.0,183.0
1754818092390179072,212.0,184.0
1754818092406845696,197.0,-360.0
1754818092423512320,209.0,106.0
1754818092440179200,210.0,146.0
1754818092456845824,199.0,-292.0
1754818092473512448,215.0,313.0
1754818092490179072,214.0,265.0
1754818092506845696,213.0,233.0
1754818092523512320,213.0,239.0
1754818092540178944,214.0,292.0
1754818092556845824,216.0,345.0
1754818092573512448,220.0,504.0
1754818092590179072,221.0,544.0
1754818092606845696,222.0,561.0
1754818092623512320,222.0,584.0
1754818092640179200,223.0,624.0
1754818092656845824,225.0,661.0
1754818092673512448,227.0,663.0
1754818092690179072,222.0,662.0
1754818092706845696,226.0,662.0
1754818092723512320,224.0,662.0
1754818092740178944,222.0,662.0
1754818092756845824,225.0,666.0
1754818092773512448,223.0,662.0
1754818092790179072,223.0,664.0
1754818092806845696,225.0,662.0
1754818092823512320,227.0,665.0
1754818092840179200,226.0,664.0
1754818092856845824,223.0,661.0
1754818092873512448,225.0,663.0
1754818092890179072,222.0,664.0
1754818092906845696,222.0,663.0
1754818092923512320,222.0,664.0
1754818092940178944,222.0,666.0
1754818092956845824,224.0,664.0
1754818092973512448,226.0,666.0
1754818092990179072,227.0,664.0
1754818093006845696,225.0,662.0
1754818093023512320,223.0,661.0
1754818093040179200,227.0,663.0
1754818093056845824,227.0,662.0
1754818093073512448,222.0,666.0
1754818093090179072,224.0,665.0
1754818093106845696,224.0,663.0
1754818093123512320,226.0,666.0
1754818093140178944,227.0,661.0
1754818093156845824,224.0,666.0
1754818093173512448,226.0,662.0
1754818093190179072,223.0,666.0
1754818093206845696,226.0,666.0
1754818093223512320,222.0,665.0
1754818093240179200,224.0,661.0
1754818093256845824,225.0,665.0
1754818093273512448,227.0,665.0
1754818093290179072,225.0,662.0
1754818093306845696,226.0,665.0
1754818093323512320,225.0,661.0
1754818093340178944,225.0,665.0
1754818093356845824,224.0,662.0
1754818093373512448,226.0,663.0
1754818093390179072,223.0,661.0
1754818093406845696,223.0,661.0
1754818093423512320,226.0,664.0
1754818093440179200,225.0,661.0
1754818093456845824,225.0,662.0
1754818093473512448,224.0,665.0
1754818093490179072,225.0,662.0
1754818093506845696,226.0,665.0
1754818093523512320,224.0,666.0
1754818093540178944,222.0,661.0
1754818093556845824,224.0,663.0
1754818093573512448,227.0,664.0
1754818093590179072,223.0,665.0
1754818093606845696,225.0,664.0
1754818093623512320,227.0,661.0
1754818093640179200,225.0,662.0
1754818093656845824,226.0,663.0
1754818093673512448,224.0,666.0
1754818093690179072,225.0,664.0
1754818093706845696,225.0,661.0
1754818093723512320,227.0,666.0
1754818093740178944,227.0,664.0
1754818093756845824,227.0,664.0
1754818093773512448,222.0,661.0
1754818093790179072,227.0,661.0
1754818093806845696,270.0,456.0
1754818093823512320,225.0,664.0
1754818093840179200,292.0,356.0
1754818093856845824,297.0,332.0
1754818093873512448,284.0,394.0
1754818093890179072,319.0,232.0
1754818093906845696,326.0,201.0
1754818093923512320,333.0,166.0
1754818093940178944,342.0,123.0
1754818093956845824,340.0,126.0
1754818093973512448,342.0,124.0
1754818093990179072,344.0,127.0
1754818094006845696,342.0,126.0
1754818094023512320,343.0,126.0
1754818094040179200,340.0,127.0
1754818094056845824,340.0,122.0
1754818094073512448,340.0,122.0
1754818094090179072,342.0,127.0
1754818094106845696,342.0,123.0
1754818094123512320,345.0,124.0
1754818094140178944,345.0,126.0
1754818094156845824,340.0,126.0
1754818094173512448,342.0,127.0
1754818094190179072,345.0,124.0
1754818094206845696,342.0,126.0
1754818094223512320,342.0,126.0
1754818094240179200,343.0,123.0
1754818094256845824,342.0,125.0
1754818094273512448,341.0,126.0
1754818094290179072,343.0,127.0
1754818094306845696,340.0,122.0
1754818094323512320,344.0,127.0
1754818094340178944,345.0,122.0
1754818094356845824,341.0,127.0
1754818094373512448,340.0,123.0
1754818094390179072,345.0,127.0
1754818094406845696,340.0,124.0
1754818094423512320,345.0,123.0
1754818094440179200,341.0,124.0
1754818094456845824,343.0,126.0
1754818094473512448,343.0,126.0
1754818094490179072,344.0,124.0
1754818094506845696,345.0,127.0
1754818094523512320,340.0,123.0
1754818094540178944,344.0,124.0
1754818094556845824,342.0,124.0
1754818094573512448,341.0,123.0
1754818094590179072,344.0,126.0
1754818094606845696,340.0,123.0
1754818094623512320,340.0,126.0
1754818094640179200,343.0,127.0
1754818094656845824,345.0,123.0
1754818094673512448,342.0,125.0
1754818094690179072,341.0,123.0
1754818094706845696,343.0,126.0
1754818094723512320,341.0,126.0
1754818094740178944,340.0,125.0
1754818094756845824,344.0,122.0
1754818094773512448,340.0,122.0
1754818094790179072,340.0,126.0
1754818094806845696,340.0,122.0
1754818094823512320,343.0,126.0
1754818094840179200,342.0,127.0
1754818094856845824,345.0,127.0
1754818094873512448,343.0,122.0
1754818094890179072,345.0,126.0
1754818094906845696,342.0,126.0
1754818094923512320,340.0,123.0
1754818094940178944,344.0,124.0
1754818094956845824,343.0,123.0
1754818094973512448,341.0,123.0
1754818094990179072,340.0,122.0
1754818095006845696,343.0,127.0
1754818095023512320,344.0,126.0
1754818095040179200,344.0,126.0
1754818095056845824,341.0,126.0
1754818095073512448,341.0,123.0
1754818095090179072,345.0,125.0
1754818095106845696,343.0,122.0
1754818095123512320,340.0,125.0
1754818095140178944,341.0,123.0
1754818095156845824,343.0,126.0
1754818095173512448,340.0,127.0
1754818095190179072,342.0,124.0
1754818095206845696,343.0,123.0
1754818095223512320,342.0,123.0
1754818095240179200,343.0,125.0
1754818095256845824,262.0,131.0
1754818095273512448,623.0,104.0
1754818095290179072,598.0,105.0
1754818095306845696,436.0,118.0
1754818095323512320,530.0,111.0
1754818095340178944,791.0,91.0
1754818095356845824,810.0,90.0
1754818095373512448,853.0,86.0
1754818095390179072,902.0,83.0
1754818095406845696,904.0,83.0
1754818095423512320,905.0,84.0
1754818095440179200,906.0,84.0
1754818095456845824,906.0,80.0
1754818095473512448,906.0,84.0
1754818095490179072,904.0,85.0
1754818095506845696,902.0,80.0
1754818095523512320,901.0,81.0
1754818095540178944,901.0,83.0
1754818095556845824,901.0,81.0
1754818095573512448,903.0,80.0
1754818095590179072,902.0,83.0
1754818095606845696,905.0,85.0
1754818095623512320,906.0,81.0
1754818095640179200,903.0,80.0
1754818095656845824,906.0,85.0
1754818095673512448,902.0,83.0
1754818095690179072,901.0,80.0
1754818095706845696,903.0,82.0
1754818095723512320,903.0,84.0
1754818095740178944,905.0,80.0
1754818095756845824,901.0,85.0
1754818095773512448,902.0,80.0
1754818095790179072,901.0,81.0
1754818095806845696,905.0,82.0
1754818095823512320,902.0,80.0
1754818095840179200,901.0,82.0
1754818095856845824,906.0,83.0
1754818095873512448,906.0,81.0
1754818095890179072,904.0,84.0
1754818095906845696,905.0,83.0
1754818095923512320,906.0,84.0
1754818095940178944,906.0,83.0
1754818095956845824,902.0,82.0
1754818095973512448,903.0,82.0
1754818095990179072,906.0,85.0
1754818096006845696,902.0,80.0
1754818096023512320,901.0,84.0
1754818096040179200,901.0,85.0
1754818096056845824,901.0,85.0
1754818096073512448,906.0,85.0
1754818096090179072,905.0,80.0
1754818096106845696,905.0,81.0
1754818096123512320,905.0,84.0
1754818096140178944,902.0,85.0
1754818096156845824,901.0,81.0
1754818096173512448,902.0,83.0
1754818096190179072,905.0,83.0
1754818096206845696,906.0,85.0
1754818096223512320,904.0,85.0
1754818096240179200,903.0,81.0
1754818096256845824,903.0,83.0
1754818096273512448,904.0,85.0
1754818096290179072,903.0,84.0
1754818096306845696,902.0,83.0
1754818096323512320,905.0,80.0
1754818096340178944,903.0,82.0
1754818096356845824,906.0,82.0
1754818096373512448,901.0,84.0
1754818096390179072,994.0,35.0
1754818096406845696,774.0,151.0
1754818096423512320,831.0,121.0
1754818096440179200,723.0,178.0
1754818096456845824,739.0,169.0
1754818096473512448,655.0,214.0
1754818096490179072,645.0,219.0
1754818096506845696,697.0,192.0
1754818096523512320,645.0,219.0
1754818096540178944,587.0,250.0
1754818096556845824,542.0,271.0
1754818096573512448,542.0,271.0
1754818096590179072,543.0,275.0
1754818096606845696,540.0,274.0
1754818096623512320,544.0,272.0
1754818096640179200,543.0,275.0
1754818096656845824,539.0,276.0
1754818096673512448,539.0,274.0
1754818096690179072,542.0,276.0
1754818096706845696,544.0,275.0
1754818096723512320,543.0,272.0
1754818096740178944,542.0,275.0
1754818096756845824,542.0,275.0
1754818096773512448,539.0,271.0
1754818096790179072,540.0,275.0
1754818096806845696,544.0,276.0
1754818096823512320,543.0,271.0
1754818096840179200,544.0,273.0
1754818096856845824,543.0,273.0
1754818096873512448,541.0,276.0
1754818096890179072,543.0,274.0
1754818096906845696,540.0,276.0
1754818096923512320,542.0,273.0
1754818096940178944,540.0,273.0
1754818096956845824,540.0,272.0
1754818096973512448,540.0,272.0
1754818096990179072,542.0,271.0
1754818097006845696,540.0,274.0
1754818097023512320,539.0,271.0
1754818097040179200,542.0,272.0
1754818097056845824,542.0,271.0
1754818097073512448,543.0,274.0
1754818097090179072,543.0,273.0
1754818097106845696,540.0,275.0
1754818097123512320,544.0,272.0
1754818097140178944,542.0,274.0
1754818097156845824,543.0,271.0
1754818097173512448,542.0,273.0
1754818097190179072,539.0,274.0
1754818097206845696,540.0,276.0
1754818097223512320,539.0,276.0
1754818097240179200,542.0,272.0
1754818097256845824,539.0,274.0
1754818097273512448,543.0,276.0
1754818097290179072,541.0,276.0
1754818097306845696,544.0,273.0
1754818097323512320,541.0,273.0
1754818097340178944,543.0,276.0
1754818097356845824,541.0,271.0
1754818097373512448,543.0,271.0
1754818097390179072,539.0,273.0
1754818097406845696,541.0,274.0
1754818097423512320,539.0,275.0
1754818097440179200,542.0,274.0
1754818097456845824,541.0,271.0
1754818097473512448,539.0,274.0
1754818097490179072,540.0,276.0
1754818097506845696,544.0,274.0
1754818097523512320,539.0,273.0
1754818097540178944,541.0,272.0
1754818097556845824,543.0,272.0
1754818097573512448,544.0,274.0
1754818097590179072,544.0,273.0
1754818097606845696,543.0,273.0
1754818097623512320,540.0,271.0
1754818097640179200,544.0,275.0
1754818097656845824,539.0,272.0
1754818097673512448,542.0,271.0
1754818097690179072,544.0,272.0
1754818097706845696,539.0,273.0
1754818097723512320,512.0,173.0
1754818097740178944,503.0,145.0
1754818097756845824,495.0,118.0
1754818097773512448,490.0,98.0
1754818097790179072,489.0,97.0
1754818097806845696,479.0,71.0
1754818097823512320,483.0,70.0
1754818097840179200,484.0,69.0
1754818097856845824,480.0,73.0
1754818097873512448,481.0,71.0
1754818097890179072,482.0,71.0
1754818097906845696,484.0,73.0
1754818097923512320,484.0,69.0
1754818097940178944,480.0,71.0
1754818097956845824,483.0,69.0
1754818097973512448,481.0,69.0
1754818097990179072,482.0,72.0
1754818098006845696,479.0,71.0
1754818098023512320,483.0,70.0
1754818098040179200,482.0,69.0
1754818098056845824,483.0,72.0
1754818098073512448,483.0,69.0
1754818098090179072,480.0,74.0
1754818098106845696,479.0,72.0
1754818098123512320,480.0,70.0
1754818098140178944,482.0,69.0
1754818098156845824,481.0,74.0
1754818098173512448,479.0,71.0
1754818098190179072,479.0,70.0
1754818098206845696,480.0,73.0
1754818098223512320,484.0,72.0
1754818098240179200,484.0,69.0
1754818098256845824,479.0,73.0
1754818098273512448,480.0,70.0
1754818098290179072,481.0,71.0
1754818098306845696,480.0,70.0
1754818098323512320,483.0,70.0
1754818098340178944,483.0,72.0
1754818098356845824,483.0,71.0
1754818098373512448,481.0,69.0
1754818098390179072,480.0,73.0
1754818098406845696,481.0,71.0
1754818098423512320,482.0,72.0
1754818098440179200,482.0,74.0
1754818098456845824,483.0,74.0
1754818098473512448,483.0,71.0
1754818098490179072,480.0,74.0
1754818098506845696,480.0,69.0
1754818098523512320,479.0,71.0
1754818098540178944,484.0,73.0
1754818098556845824,481.0,70.0
1754818098573512448,484.0,73.0
1754818098590179072,484.0,72.0
1754818098606845696,482.0,74.0
1754818098623512320,482.0,74.0
1754818098640179200,483.0,71.0
1754818098656845824,479.0,72.0
1754818098673512448,484.0,69.0
1754818098690179072,482.0,70.0
1754818098706845696,484.0,74.0
1754818098723512320,479.0,74.0
1754818098740178944,480.0,73.0
1754818098756845824,480.0,71.0
1754818098773512448,483.0,70.0
1754818098790179072,482.0,71.0
1754818098806845696,482.0,72.0
1754818098823512320,480.0,73.0
1754818098840179200,484.0,71.0
1754818098856845824,479.0,71.0
1754818098873512448,482.0,69.0
1754818098890179072,484.0,69.0
1754818098906845696,480.0,71.0
1754818098923512320,484.0,72.0
1754818098940178944,480.0,69.0
1754818098956845824,481.0,74.0
1754818098973512448,482.0,71.0
1754818098990179072,482.0,74.0
1754818099006845696,481.0,70.0
1754818099023512320,483.0,69.0
1754818099040179200,481.0,71.0
1754818099056845824,482.0,72.0
1754818099073512448,483.0,70.0
1754818099090179072,481.0,70.0
1754818099106845696,480.0,70.0
1754818099123512320,479.0,71.0
1754818099140178944,484.0,74.0
1754818099156845824,481.0,74.0
1754818099173512448,483.0,70.0
1754818099190179072,479.0,73.0
1754818099206845696,484.0,72.0
1754818099223512320,483.0,71.0
1754818099240179200,480.0,69.0
1754818099256845824,484.0,72.0
1754818099273512448,484.0,73.0
1754818099290179072,481.0,72.0
1754818099306845696,484.0,69.0
1754818099323512320,481.0,69.0
1754818099340178944,479.0,69.0
1754818099356845824,483.0,70.0
1754818099373512448,483.0,72.0
1754818099390179072,483.0,71.0
1754818099406845696,483.0,72.0
1754818099423512320,479.0,70.0
1754818099440179200,482.0,71.0
1754818099456845824,484.0,74.0
1754818099473512448,481.0,70.0
1754818099490179072,480.0,73.0
1754818099506845696,481.0,73.0
1754818099523512320,481.0,69.0
1754818099540178944,482.0,69.0
1754818099556845824,481.0,70.0
1754818099573512448,483.0,74.0
1754818099590179072,481.0,69.0
1754818099606845696,483.0,69.0
1754818099623512320,484.0,69.0
1754818099640179200,484.0,33.0
1754818099656845824,482.0,72.0
1754818099673512448,477.0,142.0
1754818099690179072,494.0,-113.0
1754818099706845696,478.0,117.0
1754818099723512320,467.0,288.0
1754818099740178944,472.0,207.0
1754818099756845824,462.0,350.0
1754818099773512448,463.0,338.0
1754818099790179072,462.0,360.0
1754818099806845696,470.0,237.0
1754818099823512320,455.0,460.0
1754818099840179200,454.0,468.0
1754818099856845824,450.0,531.0
1754818099873512448,450.0,564.0
1754818099890179072,445.0,564.0
1754818099906845696,445.0,567.0
1754818099923512320,446.0,566.0
1754818099940178944,449.0,564.0
1754818099956845824,445.0,569.0
1754818099973512448,445.0,568.0
1754818099990179072,446.0,566.0
1754818100006845696,447.0,566.0
1754818100023512320,449.0,564.0
1754818100040179200,449.0,568.0
1754818100056845824,447.0,568.0
1754818100073512448,449.0,569.0
1754818100090179072,446.0,566.0
1754818100106845696,446.0,569.0
1754818100123512320,450.0,565.0
1754818100140178944,449.0,566.0
1754818100156845824,448.0,568.0
1754818100173512448,445.0,568.0
1754818100190179072,449.0,565.0
1754818100206845696,448.0,565.0
1754818100223512320,446.0,564.0
1754818100240179200,447.0,566.0
1754818100256845824,448.0,569.0
1754818100273512448,450.0,569.0
1754818100290179072,447.0,569.0
1754818100306845696,449.0,564.0
1754818100323512320,448.0,568.0
1754818100340178944,447.0,565.0
1754818100356845824,449.0,568.0
1754818100373512448,447.0,567.0
1754818100390179072,448.0,569.0
1754818100406845696,448.0,569.0
1754818100423512320,449.0,566.0
1754818100440179200,448.0,564.0
1754818100456845824,445.0,565.0
1754818100473512448,450.0,566.0
1754818100490179072,450.0,565.0
1754818100506845696,450.0,565.0
1754818100523512320,447.0,564.0
1754818100540178944,445.0,566.0
1754818100556845824,446.0,567.0
1754818100573512448,447.0,569.0
1754818100590179072,448.0,567.0
1754818100606845696,448.0,566.0
1754818100623512320,446.0,566.0
1754818100640179200,450.0,564.0
1754818100656845824,447.0,568.0
1754818100673512448,450.0,564.0
1754818100690179072,447.0,564.0
1754818100706845696,447.0,564.0
1754818100723512320,446.0,566.0
1754818100740178944,445.0,569.0
1754818100756845824,450.0,567.0
1754818100773512448,449.0,568.0
1754818100790179072,446.0,566.0
1754818100806845696,450.0,566.0
1754818100823512320,446.0,565.0
1754818100840179200,448.0,564.0
1754818100856845824,449.0,564.0
1754818100873512448,449.0,564.0
1754818100890179072,448.0,564.0
1754818100906845696,448.0,566.0
1754818100923512320,445.0,567.0
1754818100940178944,445.0,567.0
1754818100956845824,449.0,567.0
1754818100973512448,446.0,564.0
